Категория;"URL категории";Товар;Вариант;Описание;Цена;URL;Изображение;Артикул;Количество;Активность;"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";"Старая цена";Рекомендуемый;Новый;Сортировка;Вес;"Связанные артикулы";"Смежные категории";"Ссылка на товар";Валюта;Свойства
;;"			Ламінат Lofor L8 OAK Gray	";;;269;;"L8-4.jpg[:param:][alt=			Ламінат Lofor L8 OAK Gray	][title=			Ламінат Lofor L8 OAK Gray	]|L8-4-kopiyuvaty.jpg[:param:][alt=			Ламінат Lofor L8 OAK Gray	][title=			Ламінат Lofor L8 OAK Gray	]|L8-2.jpg[:param:][alt=			Ламінат Lofor L8 OAK Gray	][title=			Ламінат Lofor L8 OAK Gray	]|L8-1.jpg[:param:][alt=			Ламінат Lofor L8 OAK Gray	][title=			Ламінат Lofor L8 OAK Gray	]|L8-3.jpg[:param:][alt=			Ламінат Lofor L8 OAK Gray	][title=			Ламінат Lofor L8 OAK Gray	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Текстура ламінату=EIR (3D)&Клас зносостійкості=33&Клас стирання=АС5&Ширина=195.0 мм&Довжина=1215.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=2,37 кв м&Кількість в упаковці=10 шт&Можливість застосування як теплої підлоги=так&Вага упаковки=15,6 кг&Захист замку від вологості=Paraffin Click&Термін придатності=20 р&Країна виробник=Польща&Продаємо в квадратних метрах"
;;"			Ламінат Lofor L7 OAK Brown	";;;269;;"L7-4.jpg[:param:][alt=			Ламінат Lofor L7 OAK Brown	][title=			Ламінат Lofor L7 OAK Brown	]|L7-5-1.jpg[:param:][alt=			Ламінат Lofor L7 OAK Brown	][title=			Ламінат Lofor L7 OAK Brown	]|L7-2.jpg[:param:][alt=			Ламінат Lofor L7 OAK Brown	][title=			Ламінат Lofor L7 OAK Brown	]|L7-3.jpg[:param:][alt=			Ламінат Lofor L7 OAK Brown	][title=			Ламінат Lofor L7 OAK Brown	]|L7-1.jpg[:param:][alt=			Ламінат Lofor L7 OAK Brown	][title=			Ламінат Lofor L7 OAK Brown	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Текстура ламінату=EIR (3D)&Клас зносостійкості=33&Клас стирання=АС5&Ширина=195.0 мм&Довжина=1215.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=2,37 кв м&Кількість в упаковці=10 шт&Можливість застосування як теплої підлоги=так&Вага упаковки=15,6 кг&Захист замку від вологості=Paraffin Click&Термін придатності=20 р&Країна виробник=Польща&Продаємо в квадратних метрах"
;;"			Ламінат Lofor L6 OAK Silver	";;;269;;"L6-2.jpg[:param:][alt=			Ламінат Lofor L6 OAK Silver	][title=			Ламінат Lofor L6 OAK Silver	]|L6-5-1.jpg[:param:][alt=			Ламінат Lofor L6 OAK Silver	][title=			Ламінат Lofor L6 OAK Silver	]|L6-4.jpg[:param:][alt=			Ламінат Lofor L6 OAK Silver	][title=			Ламінат Lofor L6 OAK Silver	]|L6-3.jpg[:param:][alt=			Ламінат Lofor L6 OAK Silver	][title=			Ламінат Lofor L6 OAK Silver	]|L6-1.jpg[:param:][alt=			Ламінат Lofor L6 OAK Silver	][title=			Ламінат Lofor L6 OAK Silver	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Текстура ламінату=EIR (3D)&Клас зносостійкості=33&Клас стирання=АС5&Ширина=195.0 мм&Довжина=1215.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=2,37 кв м&Кількість в упаковці=10 шт&Можливість застосування як теплої підлоги=так&Вага упаковки=15,6 кг&Захист замку від вологості=Paraffin Click&Термін придатності=20 р&Країна виробник=Польща&Продаємо в квадратних метрах"
;;"			Ламінат Lofor L5 OAK Dimgray	";;;269;;"L5-3-1.jpg[:param:][alt=			Ламінат Lofor L5 OAK Dimgray	][title=			Ламінат Lofor L5 OAK Dimgray	]|L5-5.jpg[:param:][alt=			Ламінат Lofor L5 OAK Dimgray	][title=			Ламінат Lofor L5 OAK Dimgray	]|L5-1-1.jpg[:param:][alt=			Ламінат Lofor L5 OAK Dimgray	][title=			Ламінат Lofor L5 OAK Dimgray	]|L5-2-1.jpg[:param:][alt=			Ламінат Lofor L5 OAK Dimgray	][title=			Ламінат Lofor L5 OAK Dimgray	]|L5-4-1.jpg[:param:][alt=			Ламінат Lofor L5 OAK Dimgray	][title=			Ламінат Lofor L5 OAK Dimgray	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Текстура ламінату=EIR (3D)&Клас зносостійкості=33&Клас стирання=АС5&Ширина=195.0 мм&Довжина=1215.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=2,37 кв м&Кількість в упаковці=10 шт&Можливість застосування як теплої підлоги=так&Вага упаковки=15,6 кг&Захист замку від вологості=Paraffin Click&Термін придатності=20 р&Країна виробник=Польща&Продаємо в квадратних метрах"
;;"			Ламінат Lofor L2 OAK Gream	";;;269;;"L2-3-2.jpg[:param:][alt=			Ламінат Lofor L2 OAK Gream	][title=			Ламінат Lofor L2 OAK Gream	]|L2-5-1.jpg[:param:][alt=			Ламінат Lofor L2 OAK Gream	][title=			Ламінат Lofor L2 OAK Gream	]|L2-4-2.jpg[:param:][alt=			Ламінат Lofor L2 OAK Gream	][title=			Ламінат Lofor L2 OAK Gream	]|L2-2-2.jpg[:param:][alt=			Ламінат Lofor L2 OAK Gream	][title=			Ламінат Lofor L2 OAK Gream	]|L2-1-2.jpg[:param:][alt=			Ламінат Lofor L2 OAK Gream	][title=			Ламінат Lofor L2 OAK Gream	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Текстура ламінату=EIR (3D)&Клас зносостійкості=33&Клас стирання=АС5&Ширина=195.0 мм&Довжина=1215.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=2,37 кв м&Кількість в упаковці=10 шт&Можливість застосування як теплої підлоги=так&Вага упаковки=15,6 кг&Захист замку від вологості=Paraffin Click&Термін придатності=20 р&Країна виробник=Польща&Продаємо в квадратних метрах"
;;"			Ламінат Lofor L1 OAK Ghocolate	";;;269;;"L1-2-2.jpg[:param:][alt=			Ламінат Lofor L1 OAK Ghocolate	][title=			Ламінат Lofor L1 OAK Ghocolate	]|L1-5-1.jpg[:param:][alt=			Ламінат Lofor L1 OAK Ghocolate	][title=			Ламінат Lofor L1 OAK Ghocolate	]|L1-1-2.jpg[:param:][alt=			Ламінат Lofor L1 OAK Ghocolate	][title=			Ламінат Lofor L1 OAK Ghocolate	]|L1-3-2.jpg[:param:][alt=			Ламінат Lofor L1 OAK Ghocolate	][title=			Ламінат Lofor L1 OAK Ghocolate	]|L1-4-2.jpg[:param:][alt=			Ламінат Lofor L1 OAK Ghocolate	][title=			Ламінат Lofor L1 OAK Ghocolate	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Текстура ламінату=EIR (3D)&Клас зносостійкості=33&Клас стирання=АС5&Ширина=195.0 мм&Довжина=1215.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=2,37 кв м&Кількість в упаковці=10 шт&Можливість застосування як теплої підлоги=так&Вага упаковки=15,6 кг&Захист замку від вологості=Paraffin Click&Термін придатності=20 р&Країна виробник=Польща&Продаємо в квадратних метрах"
;;"			Ламінат Toscana T01 Ahata	";;;315;;"T01-Ahata-1-1.jpg[:param:][alt=			Ламінат Toscana T01 Ahata	][title=			Ламінат Toscana T01 Ahata	]|T01-Ahata-5-1.jpg[:param:][alt=			Ламінат Toscana T01 Ahata	][title=			Ламінат Toscana T01 Ahata	]|T01-Ahata-4-1.jpg[:param:][alt=			Ламінат Toscana T01 Ahata	][title=			Ламінат Toscana T01 Ahata	]|T01-Ahata-3-1.jpg[:param:][alt=			Ламінат Toscana T01 Ahata	][title=			Ламінат Toscana T01 Ahata	]|T01-Ahata-2-1.jpg[:param:][alt=			Ламінат Toscana T01 Ahata	][title=			Ламінат Toscana T01 Ahata	]|T01-Ahata-6-1.jpg[:param:][alt=			Ламінат Toscana T01 Ahata	][title=			Ламінат Toscana T01 Ahata	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Клас зносостійкості=33&Клас стирання=АС5&Ширина=405.0 мм&Довжина=1215.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=3.445 кв м&Кількість в упаковці=7 шт&Ступінь блиску=Напівматовий&Можливість застосування як теплої підлоги=так&Вага упаковки=21.96 кг&Захист замку від вологості=Paraffin Click&Термін придатності=20 р&Виробник=Польща&Ціна вказана за метр квадратний"
;;"			Ламінат Toscana T02 Bella	";;;315;;"T02-Bella-1-1.jpg[:param:][alt=			Ламінат Toscana T02 Bella	][title=			Ламінат Toscana T02 Bella	]|T02-Bella-2-1.jpg[:param:][alt=			Ламінат Toscana T02 Bella	][title=			Ламінат Toscana T02 Bella	]|T02-Bella-3-1.jpg[:param:][alt=			Ламінат Toscana T02 Bella	][title=			Ламінат Toscana T02 Bella	]|T02-Bella-4-1.jpg[:param:][alt=			Ламінат Toscana T02 Bella	][title=			Ламінат Toscana T02 Bella	]|T02-Bella-5-1.jpg[:param:][alt=			Ламінат Toscana T02 Bella	][title=			Ламінат Toscana T02 Bella	]|T02-Bella-6-1.jpg[:param:][alt=			Ламінат Toscana T02 Bella	][title=			Ламінат Toscana T02 Bella	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Клас зносостійкості=33&Клас стирання=АС5&Ширина=405.0 мм&Довжина=1215.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=3.445 кв м&Кількість в упаковці=7 шт&Ступінь блиску=Напівматовий&Можливість застосування як теплої підлоги=так&Вага упаковки=21.96 кг&Захист замку від вологості=Paraffin Click&Термін придатності=20 р&Виробник=Польща&Ціна вказана за метр квадратний"
;;"			Ламінат колекції Parquet Sapfir 1592-2	";;;308;;"1592_2_3-1.jpg[:param:][alt=			Ламінат колекції Parquet Sapfir 1592-2	][title=			Ламінат колекції Parquet Sapfir 1592-2	]|1592_2_2-1.jpg[:param:][alt=			Ламінат колекції Parquet Sapfir 1592-2	][title=			Ламінат колекції Parquet Sapfir 1592-2	]|1592_2_1.jpg[:param:][alt=			Ламінат колекції Parquet Sapfir 1592-2	][title=			Ламінат колекції Parquet Sapfir 1592-2	]|1592_2_4.jpg[:param:][alt=			Ламінат колекції Parquet Sapfir 1592-2	][title=			Ламінат колекції Parquet Sapfir 1592-2	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Клас зносостійкості=33&Клас стирання=АС5&Ширина=404.0 мм&Довжина=1210.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=3.422 кв м&Кількість в упаковці=7 шт&Ступінь блиску=Напівматовий&Можливість застосування як теплої підлоги=так&Вага упаковки=25.73 кг&Захист замку від вологості=Paraffin Click&Термін придатності=25 р&Країна виробник=ПольщаЦіна вказана за метр квадратний"
;;"			Ламінат колекції Parquet Sapfir 69628 (8811)	";;;308;;"69628_8811_2-1.jpg[:param:][alt=			Ламінат колекції Parquet Sapfir 69628 (8811)	][title=			Ламінат колекції Parquet Sapfir 69628 (8811)	]|69628_8811_4.jpg[:param:][alt=			Ламінат колекції Parquet Sapfir 69628 (8811)	][title=			Ламінат колекції Parquet Sapfir 69628 (8811)	]|69628_8811_3.jpg[:param:][alt=			Ламінат колекції Parquet Sapfir 69628 (8811)	][title=			Ламінат колекції Parquet Sapfir 69628 (8811)	]";;-1;1;;;;;0;0;;0,27;;;;UAH;"	Вологостійка плита=HDF&Клас зносостійкості=33&Клас стирання=АС5&Ширина=403.0 мм&Довжина=806.0 мм&Товщина=8.0 мм&Присутність фаски=так&Покриття площі пачкою=2.92 кв м&Кількість в упаковці=9 шт&Ступінь блиску=Напівматовий&Можливість застосування як теплої підлоги=так&Вага упаковки=21.96 кг&Захист замку від вологості=Paraffin Click&Термін придатності=25 р&Країна виробник=ПольщаЦіна вказана за метр квадратний"
